annotation,pdf,shape,scale,scale_div2Ne,Ne,U_syn,U_nonsyn,p_neu,s_mean,0<=s<1e-5,1e-5<=s<1e-4,1e-4<=s<1e-3,1e-3<=s<1e-2,1e-2<=s<0.5,0.5<=s<inf,source
cds_merged,gamma_neutral,0.215000,562.500000,0.023981,11728.000000,1.000000,2.310000,0.302115,0.003598,0.44533,0.09158,0.14788,0.20795,0.10726,0.00000,Kim_et_al_2017
ccds_lof_d1,gamma_neutral,0.295103,3624.598593,0.205817,8805.373424,0.016685,0.043357,0.277893,0.043859,0.32078,0.04171,0.08214,0.15898,0.38728,0.00911,this_study
ccds_lof_d2,gamma_neutral,0.255626,3710.675108,0.168928,10983.023053,0.017557,0.044581,0.282552,0.030981,0.34836,0.05273,0.09478,0.16687,0.33336,0.00389,this_study
ccds_lof_d3,gamma_neutral,0.242348,2154.541250,0.085033,12668.794532,0.016308,0.041280,0.283182,0.014772,0.37128,0.06580,0.11444,0.19115,0.25720,0.00013,this_study
ccds_lof_d4,gamma_neutral,0.212463,2334.563076,0.085390,13669.985645,0.014877,0.037860,0.282097,0.013024,0.39675,0.07231,0.11742,0.18320,0.23021,0.00011,this_study
ccds_lof_d5,gamma_neutral,0.163208,3988.301101,0.137841,14467.074003,0.012333,0.031845,0.279164,0.016216,0.44297,0.07470,0.10848,0.15374,0.21914,0.00096,this_study
ccds_lof_d6,gamma_neutral,0.166425,809.496210,0.026519,15262.443652,0.010393,0.027152,0.276825,0.003192,0.48672,0.09787,0.14156,0.18103,0.09282,0.00000,this_study
ccds_lof_d7,gamma_neutral,0.102277,3307.252762,0.109684,15076.230701,0.008919,0.023137,0.278221,0.008097,0.57149,0.07785,0.09819,0.12021,0.13209,0.00018,this_study
ccds_lof_d8,gamma_neutral,0.109320,1574.038253,0.044894,17530.655753,0.009766,0.025372,0.277933,0.003544,0.58178,0.08689,0.11086,0.13158,0.08888,0.00000,this_study
ccds_lof_d9,gamma_neutral,0.117576,642.351139,0.020592,15597.480460,0.010569,0.027142,0.280256,0.001743,0.59096,0.09642,0.12416,0.13707,0.05139,0.00000,this_study
ccds_lof_d10,gamma_neutral,0.136438,289.785737,0.008740,16578.265835,0.013618,0.034970,0.280279,0.000858,0.58488,0.11192,0.14691,0.13673,0.01956,0.00000,this_study
ccds_lof_d11,gamma_neutral,0.089341,1807.461752,0.055993,16140.055147,0.003621,0.008903,0.289130,0.003556,0.63315,0.07852,0.09583,0.11040,0.08210,0.00000,this_study
promoters,gamma,0.110826,18.505749,0.000500,18511.846510,nan,nan,nan,0.000055,0.68309,0.18358,0.12695,0.00638,0.00000,0.00000,this_study
enhancers,gamma,0.010054,8257.343041,0.226519,18226.593170,nan,nan,nan,0.002277,0.90928,0.02129,0.02176,0.02192,0.02537,0.00038,this_study
phastcons_0-5,gamma,0.168883,65.724595,0.001780,18460.997250,nan,nan,nan,0.000301,0.44925,0.20877,0.25179,0.09005,0.00014,0.00000,this_study
phastcons_5-10,gamma,0.126687,42.497880,0.001151,18455.385630,nan,nan,nan,0.000146,0.58183,0.19039,0.18909,0.03868,0.00000,0.00000,this_study
phastcons_10-15,gamma,0.113052,38.895030,0.001053,18468.851340,nan,nan,nan,0.000119,0.62367,0.17860,0.16783,0.02991,0.00000,0.00000,this_study
phastcons_15-20,gamma,0.092287,50.157318,0.001358,18471.476580,nan,nan,nan,0.000125,0.66546,0.15304,0.14704,0.03445,0.00001,0.00000,this_study
phastcons_20-25,gamma,0.081781,50.409269,0.001366,18449.220430,nan,nan,nan,0.000112,0.69714,0.14034,0.13195,0.03056,0.00001,0.00000,this_study
phastcons_25-30,gamma,0.072641,56.234715,0.001524,18451.776440,nan,nan,nan,0.000111,0.72049,0.12783,0.12069,0.03098,0.00002,0.00000,this_study
phastcons_30-35,gamma,0.054260,107.311193,0.002907,18459.525830,nan,nan,nan,0.000158,0.75655,0.09933,0.09981,0.04386,0.00045,0.00000,this_study
phastcons_35-40,gamma,0.047700,120.989178,0.003275,18471.105040,nan,nan,nan,0.000156,0.77826,0.08927,0.08956,0.04227,0.00064,0.00000,this_study
phastcons_40-45,gamma,0.050066,84.622710,0.002292,18461.894190,nan,nan,nan,0.000115,0.78239,0.09397,0.09069,0.03281,0.00014,0.00000,this_study
phastcons_45-50,gamma,0.038485,156.954365,0.004253,18450.070810,nan,nan,nan,0.000164,0.80895,0.07427,0.07474,0.04079,0.00125,0.00000,this_study
phastcons_50-55,gamma,0.034218,160.542516,0.004348,18461.454380,nan,nan,nan,0.000149,0.82767,0.06724,0.06713,0.03678,0.00118,0.00000,this_study
phastcons_55-60,gamma,0.030462,166.812613,0.004516,18469.445920,nan,nan,nan,0.000138,0.84414,0.06080,0.06037,0.03353,0.00117,0.00000,this_study
phastcons_60-65,gamma,0.023204,270.259931,0.007318,18464.605120,nan,nan,nan,0.000170,0.86926,0.04745,0.04771,0.03266,0.00292,0.00000,this_study
phastcons_65-70,gamma,0.012772,2142.372980,0.058010,18465.700080,nan,nan,nan,0.000741,0.90173,0.02689,0.02753,0.02670,0.01715,0.00000,this_study
phastcons_70-75,gamma,0.008953,3769.584742,0.102018,18475.112990,nan,nan,nan,0.000913,0.92539,0.01927,0.01960,0.01933,0.01639,0.00001,this_study
phastcons_75-80,gamma,0.003847,256796.568800,6.953195,18466.083530,nan,nan,nan,0.026749,0.95166,0.00847,0.00854,0.00861,0.01456,0.00816,this_study
