chrom,mut_model,elem_type,U
1,carlson,cds_merged,0.056816088343429286
1,carlson,promoters,0.04706905092996149
1,carlson,enhancers,0.30060661856426335
1,carlson,cds_lof_d1,0.006599983087287626
1,carlson,cds_lof_d2,0.007408621076175734
1,carlson,cds_lof_d3,0.006457850765099815
1,carlson,cds_lof_d4,0.005435313231729096
1,carlson,cds_lof_d5,0.004549416001043391
1,carlson,cds_lof_d6,0.004650497910535465
1,carlson,cds_lof_d7,0.004179204585063474
1,carlson,cds_lof_d8,0.004888398998702795
1,carlson,cds_lof_d9,0.005016394978429495
1,carlson,cds_lof_d10,0.005462115580635779
1,carlson,cds_lof_d11,0.0022082421865575338
1,carlson,phastcons_0-5,0.09946072281724117
1,carlson,phastcons_5-10,0.08797625062052163
1,carlson,phastcons_10-15,0.07525516271092184
1,carlson,phastcons_15-20,0.0702292066522803
1,carlson,phastcons_20-25,0.06849122598064276
1,carlson,phastcons_25-30,0.06952391597398874
1,carlson,phastcons_30-35,0.06808976238111515
1,carlson,phastcons_35-40,0.0719904741099532
1,carlson,phastcons_40-45,0.07283944614523001
1,carlson,phastcons_45-50,0.0699954222545979
1,carlson,phastcons_50-55,0.0804975099592789
1,carlson,phastcons_55-60,0.07163855254280876
1,gnomad,cds_merged,0.05290103062935861
1,gnomad,promoters,0.04725244272757466
1,gnomad,enhancers,0.23894968694499763
1,gnomad,cds_lof_d1,0.00601536141675
1,gnomad,cds_lof_d2,0.00691512125349757
1,gnomad,cds_lof_d3,0.00602345421475
1,gnomad,cds_lof_d4,0.0051631614171426445
1,gnomad,cds_lof_d5,0.004314306416292303
1,gnomad,cds_lof_d6,0.004412652006
1,gnomad,cds_lof_d7,0.003988510416776569
1,gnomad,cds_lof_d8,0.004431489804624939
1,gnomad,cds_lof_d9,0.004609898779803719
1,gnomad,cds_lof_d10,0.00516293094197823
1,gnomad,cds_lof_d11,0.0019014723580914742
1,gnomad,phastcons_0-5,0.07972147188706886
1,gnomad,phastcons_5-10,0.06979341666402802
1,gnomad,phastcons_10-15,0.059492763599330006
1,gnomad,phastcons_15-20,0.05544820091413473
1,gnomad,phastcons_20-25,0.054054816503208286
1,gnomad,phastcons_25-30,0.05487735815526637
1,gnomad,phastcons_30-35,0.05376904928215208
1,gnomad,phastcons_35-40,0.056861400578642494
1,gnomad,phastcons_40-45,0.057569646582541274
1,gnomad,phastcons_45-50,0.05537849337955297
1,gnomad,phastcons_50-55,0.06373530630565978
1,gnomad,phastcons_55-60,0.05678410010841922
1,roulette,cds_merged,0.049610523787690965
1,roulette,promoters,0.03544085110820382
1,roulette,enhancers,0.2398692235553798
1,roulette,cds_lof_d1,0.0057430566077499995
1,roulette,cds_lof_d2,0.006472170967676622
1,roulette,cds_lof_d3,0.005607837445
1,roulette,cds_lof_d4,0.0048674790522478546
1,roulette,cds_lof_d5,0.003956689173021219
1,roulette,cds_lof_d6,0.003945112556
1,roulette,cds_lof_d7,0.0036882400506553863
1,roulette,cds_lof_d8,0.004164771149773059
1,roulette,cds_lof_d9,0.004402820956267864
1,roulette,cds_lof_d10,0.00495439066499595
1,roulette,cds_lof_d11,0.0018496292240957402
1,roulette,phastcons_0-5,0.07606954262672563
1,roulette,phastcons_5-10,0.06740559296555303
1,roulette,phastcons_10-15,0.057922607742837806
1,roulette,phastcons_15-20,0.05423491053395883
1,roulette,phastcons_20-25,0.053037830064710065
1,roulette,phastcons_25-30,0.05395119314181714
1,roulette,phastcons_30-35,0.05297867838416746
1,roulette,phastcons_35-40,0.05613998738381686
1,roulette,phastcons_40-45,0.056947769785397145
1,roulette,phastcons_45-50,0.05486442321891648
1,roulette,phastcons_50-55,0.06328985754251201
1,roulette,phastcons_55-60,0.056482985276789445
2,carlson,cds_merged,0.04027699169417366
2,carlson,promoters,0.031200633581098352
2,carlson,enhancers,0.285605049560475
2,carlson,cds_lof_d1,0.004483121346663439
2,carlson,cds_lof_d2,0.004660694357917888
2,carlson,cds_lof_d3,0.005388797741774398
2,carlson,cds_lof_d4,0.006449019664200841
2,carlson,cds_lof_d5,0.004041404810663267
2,carlson,cds_lof_d6,0.0030876638336822596
2,carlson,cds_lof_d7,0.0020936406990207765
2,carlson,cds_lof_d8,0.0026398693402536018
2,carlson,cds_lof_d9,0.002424783771474946
2,carlson,cds_lof_d10,0.004252068611941139
2,carlson,cds_lof_d11,0.0008433107102031122
2,carlson,phastcons_0-5,0.10366368547598143
2,carlson,phastcons_5-10,0.08300059335146935
2,carlson,phastcons_10-15,0.07014944230669873
2,carlson,phastcons_15-20,0.0654758000697479
2,carlson,phastcons_20-25,0.0644236990115631
2,carlson,phastcons_25-30,0.06549773002661054
2,carlson,phastcons_30-35,0.06450099992274297
2,carlson,phastcons_35-40,0.06866298136900907
2,carlson,phastcons_40-45,0.06959655137624345
2,carlson,phastcons_45-50,0.06710488638758907
2,carlson,phastcons_50-55,0.07752848963856271
2,carlson,phastcons_55-60,0.06900948293216486
2,gnomad,cds_merged,0.036511322739691876
2,gnomad,promoters,0.031855752998032144
2,gnomad,enhancers,0.22454693753655758
2,gnomad,cds_lof_d1,0.004081912682750001
2,gnomad,cds_lof_d2,0.004299978530750001
2,gnomad,cds_lof_d3,0.004875668616000001
2,gnomad,cds_lof_d4,0.005565851975833769
2,gnomad,cds_lof_d5,0.0035709935270238713
2,gnomad,cds_lof_d6,0.0028244893722500007
2,gnomad,cds_lof_d7,0.0019610460717458702
2,gnomad,cds_lof_d8,0.002611922866549797
2,gnomad,cds_lof_d9,0.0021808476759938343
2,gnomad,cds_lof_d10,0.003810758685161777
2,gnomad,cds_lof_d11,0.0008259491034166666
2,gnomad,phastcons_0-5,0.08115649060767784
2,gnomad,phastcons_5-10,0.06493697120522192
2,gnomad,phastcons_10-15,0.05475018289192934
2,gnomad,phastcons_15-20,0.051066872031601825
2,gnomad,phastcons_20-25,0.05024676212212163
2,gnomad,phastcons_25-30,0.05108727234674138
2,gnomad,phastcons_30-35,0.05033430010677705
2,gnomad,phastcons_35-40,0.053582933103524584
2,gnomad,phastcons_40-45,0.05431487920961679
2,gnomad,phastcons_45-50,0.05239108678683566
2,gnomad,phastcons_50-55,0.06059536288908362
2,gnomad,phastcons_55-60,0.0539740705948382
2,roulette,cds_merged,0.034654159885026244
2,roulette,promoters,0.023760020936569856
2,roulette,enhancers,0.2311030673889231
2,roulette,cds_lof_d1,0.0038648170225000006
2,roulette,cds_lof_d2,0.0040281764512500005
2,roulette,cds_lof_d3,0.004667870457249999
2,roulette,cds_lof_d4,0.005397634999570302
2,roulette,cds_lof_d5,0.0033668079585096457
2,roulette,cds_lof_d6,0.0025697595927499997
2,roulette,cds_lof_d7,0.0018153745491847105
2,roulette,cds_lof_d8,0.0024086193625664494
2,roulette,cds_lof_d9,0.002107979940268317
2,roulette,cds_lof_d10,0.0037474188233038545
2,roulette,cds_lof_d11,0.0007620219133333333
2,roulette,phastcons_0-5,0.08036504595702765
2,roulette,phastcons_5-10,0.0647992106816369
2,roulette,phastcons_10-15,0.05498512266800626
2,roulette,phastcons_15-20,0.05147413626116701
2,roulette,phastcons_20-25,0.05079335917549889
2,roulette,phastcons_25-30,0.05173916905953724
2,roulette,phastcons_30-35,0.05106053608506024
2,roulette,phastcons_35-40,0.054421314131199154
2,roulette,phastcons_40-45,0.05527645190702921
2,roulette,phastcons_45-50,0.05339020528094164
2,roulette,phastcons_50-55,0.06182986646290766
2,roulette,phastcons_55-60,0.055180545412216044
3,carlson,cds_merged,0.03186767881253391
3,carlson,promoters,0.02593089838852632
3,carlson,enhancers,0.23763603713256085
3,carlson,cds_lof_d1,0.0029414252115273344
3,carlson,cds_lof_d2,0.005239217312596296
3,carlson,cds_lof_d3,0.003753422200257861
3,carlson,cds_lof_d4,0.003325513884352518
3,carlson,cds_lof_d5,0.00345067388029208
3,carlson,cds_lof_d6,0.0020343757662245115
