#Ne_opt: 19265.625, f_opt: 26703581713.945198, n_iters: 10, n_calls: 20, flag: 1
call	runtime	Ne	ll
0	1168.503	30000.0	-27103264062.351486
1	2297.693	31500.0	-27204795028.340096
2	3382.304	28500.0	-27010388723.230255
3	4471.737	27000.0	-26927229881.28639
4	5561.982	24000.0	-26794630713.661705
5	6686.978	21000.0	-26717014040.90943
6	7855.552	15000.0	-26804094365.207897
7	9069.208	18000.0	-26711399597.841686
8	10379.992	19500.0	-26703849386.365265
9	11676.4	18750.0	-26704830703.0035
10	13113.859	20250.0	-26708041282.750416
11	14446.434	19125.0	-26703668354.59751
12	15834.9	19312.5	-26703594421.655556
13	17236.24	19218.75	-26703589705.60377
14	18884.55	19265.625	-26703581713.945198
