#Ne_opt: 24867.1875, f_opt: 28305134532.0379, n_iters: 10, n_calls: 20, flag: 1
call	runtime	Ne	ll
0	963.509	30000.0	-28373707290.331886
1	1891.283	31500.0	-28415827885.206177
2	2820.95	28500.0	-28340698384.85611
3	3755.591	27000.0	-28317844433.251892
4	4696.384	24000.0	-28307415565.417377
5	5659.888	21000.0	-28354582796.668304
6	6677.372	25500.0	-28306294359.70764
7	7780.97	24750.0	-28305178421.073578
8	9010.318	25125.0	-28305329062.78159
9	10177.862	24375.0	-28305864443.65446
10	11397.319	24937.5	-28305148556.53531
11	12571.647	24843.75	-28305137378.084946
12	13809.852	24890.625	-28305136677.54561
13	14993.684	24867.1875	-28305134532.0379
