#Ne_opt: 24773.4375, f_opt: 28598831497.32878, n_iters: 10, n_calls: 20, flag: 1
call	runtime	Ne	ll
0	1779.887	30000.0	-28672109907.355873
1	3484.462	31500.0	-28716161537.894012
2	5191.512	28500.0	-28637407738.21943
3	6868.977	27000.0	-28613115363.240677
4	8523.426	24000.0	-28600697486.780434
5	10157.119	21000.0	-28647308229.639038
6	11890.062	25500.0	-28600410845.908356
7	13650.687	24750.0	-28598833085.096024
8	15395.984	25125.0	-28599203767.42373
9	17136.012	24375.0	-28599322633.972946
10	18867.75	24937.5	-28598913157.387188
11	20618.783	24562.5	-28598968501.776814
12	22424.619	24843.75	-28598846116.335884
13	24298.938	24656.25	-28598873584.293877
14	26112.489	24796.875	-28598832790.83736
15	27902.634	24773.4375	-28598831497.32878
