#Ne_opt: 27187.5, f_opt: 23699053436.69043, n_iters: 12, n_calls: 25, flag: 1
call	runtime	Ne	ll
0	3728.862	30000.0	-23711529079.18317
1	7067.281	31500.0	-23727524268.912315
2	10297.784	28500.0	-23701818708.227356
3	13538.374	27000.0	-23699128917.284042
4	17416.843	24000.0	-23718312548.06518
5	20847.168	25500.0	-23704294636.671646
6	24497.256	27750.0	-23699547574.65234
7	27713.854	26250.0	-23700672060.38965
8	31097.289	27375.0	-23699098298.702568
9	35031.145	27187.5	-23699053436.69043
10	39142.486	27281.25	-23699062780.652287
11	42816.873	27093.75	-23699075882.23349
12	46791.263	27234.375	-23699055251.192852
13	50818.266	27140.625	-23699061534.542892
14	55354.595	27210.9375	-23699054523.050793
15	59173.141	27164.0625	-23699057548.523003
16	62789.548	27199.21875	-23699054398.48908
17	66448.072	27175.78125	-23699055248.897476
18	70876.227	27193.359375	-23699054071.016266
19	74835.309	27181.640625	-23699054683.178284
20	78417.088	27190.4296875	-23699054386.553993
