#Ne_opt: 33656.25, f_opt: 4742292888.425409, n_iters: 10, n_calls: 20, flag: 0
call	runtime	Ne	ll
0	422.851	30000.0	-4745760408.061224
1	705.49	31500.0	-4743460318.361864
2	978.596	33000.0	-4742397951.251259
3	1308.151	34500.0	-4742460176.547068
4	1609.108	33750.0	-4742294933.048994
5	1905.567	33375.0	-4742312134.002088
6	2225.917	34125.0	-4742344777.891584
7	2519.315	33562.5	-4742295059.579855
8	2829.035	33937.5	-4742311566.165119
9	3121.895	33656.25	-4742292888.425409
10	3375.891	33703.125	-4742293382.8675
11	3672.405	33609.375	-4742293444.553512
12	3967.919	33679.6875	-4742293001.876063
13	4298.155	33632.8125	-4742293034.328527
14	4637.899	33667.96875	-4742292914.260012
15	4905.43	33644.53125	-4742292928.41165
16	5186.886	33662.109375	-4742292893.162179
