#Ne_opt: 33878.90625, f_opt: 29663472218.779076, n_iters: 12, n_calls: 25, flag: 1
call	runtime	Ne	ll
0	10178.76	30000.0	-29685818514.965187
1	20164.298	31500.0	-29671609979.08662
2	30463.953	33000.0	-29664541275.37581
3	40414.669	34500.0	-29663999726.00285
4	50198.028	37500.0	-29680199078.255478
5	59507.153	36000.0	-29669383689.322823
6	69115.355	33750.0	-29663494248.598736
7	77696.38	34125.0	-29663557598.655052
8	86858.533	33375.0	-29663819560.019974
9	93033.481	33937.5	-29663477748.840294
10	98890.578	33843.75	-29663473899.95226
11	104760.619	33890.625	-29663473040.728172
12	110485.73	33867.1875	-29663472709.67694
13	116459.565	33878.90625	-29663472218.779076
14	123159.394	33873.046875	-29663472364.522957
15	129827.045	33884.765625	-29663472683.89717
16	136469.203	33875.9765625	-29663472633.285618
