#Ne_opt: 32666.015625, f_opt: 4735882764.764767, n_iters: 10, n_calls: 20, flag: 0
t	Ne	ll
484.683	30000.0	-4737804418.576116
858.926	31500.0	-4736237894.28425
1226.123	33000.0	-4735911273.181792
1587.558	34500.0	-4736711307.86675
1953.403	32250.0	-4735927067.805044
2336.857	33750.0	-4736176915.908692
2706.345	32625.0	-4735883167.037304
3094.624	32812.5	-4735888326.727009
3499.051	32437.5	-4735896010.720045
3884.027	32718.75	-4735883509.251343
4278.898	32531.25	-4735887326.756958
4708.24	32671.875	-4735882777.37957
5097.799	32648.4375	-4735882831.879978
5477.009	32695.3125	-4735883003.167709
5869.229	32660.15625	-4735882769.64345
6290.409	32666.015625	-4735882764.764767
