#Ne_opt: 21421.875, f_opt: 17144401445.684208, n_iters: 10, n_calls: 20, flag: 1
call	runtime	Ne	ll
0	518.966	30000.0	-17280753183.67502
1	1027.58	31500.0	-17326232177.64842
2	1553.902	28500.0	-17240604003.660934
3	2106.116	27000.0	-17206403644.31924
4	2601.548	24000.0	-17158699007.842344
5	3096.097	21000.0	-17144849747.814432
6	3585.926	15000.0	-17266938317.401142
7	4078.849	18000.0	-17175447249.060629
8	4566.853	22500.0	-17146980190.143644
9	5049.155	19500.0	-17153741837.779036
10	5520.459	21750.0	-17144633285.810085
11	5984.604	21375.0	-17144409931.604498
12	6458.582	21562.5	-17144439156.068554
13	6920.552	21187.5	-17144544610.579863
14	7377.951	21468.75	-17144403607.600864
15	7843.984	21421.875	-17144401445.684208
