#Ne_opt: 28429.6875, f_opt: 28641783066.819458, n_iters: 9, n_calls: 20, flag: 1
call	runtime	Ne	ll
0	856.315	30000.0	-28647223295.766533
1	1708.283	31500.0	-28661830372.334846
2	2568.374	28500.0	-28641797641.325996
3	3419.137	27000.0	-28646575536.296795
4	4278.263	27750.0	-28642841585.04143
5	5147.898	29250.0	-28643299996.83767
6	6020.581	28125.0	-28641993029.46633
7	6896.766	28875.0	-28642237777.750412
8	7771.056	28312.5	-28641813717.70729
9	8614.185	28687.5	-28641940015.49132
10	9450.328	28406.25	-28641783966.006256
11	10299.808	28453.125	-28641785555.31369
12	11126.04	28359.375	-28641793181.050156
13	11955.998	28429.6875	-28641783066.819458
14	12797.773	28417.96875	-28641783492.505524
15	13643.538	28441.40625	-28641783663.521286
16	14508.693	28423.828125	-28641783723.82851
