#Ne_opt: 26671.875, f_opt: 28591071751.568264, n_iters: 10, n_calls: 20, flag: 1
call	runtime	Ne	ll
0	973.377	30000.0	-28617365676.70489
1	1983.168	31500.0	-28644679402.07631
2	2959.447	28500.0	-28599231215.345013
3	3939.712	27000.0	-28591327221.339703
4	4880.548	24000.0	-28611082637.035507
5	5761.071	25500.0	-28594814264.86531
6	6626.162	26250.0	-28591564637.472343
7	7505.316	27750.0	-28593930085.60514
8	8360.9	26625.0	-28591080870.68153
9	9198.606	26812.5	-28591111737.320724
10	10033.368	26437.5	-28591229106.452713
11	10878.875	26718.75	-28591073575.334084
12	11712.285	26671.875	-28591071751.568264
13	12537.24	26695.3125	-28591072946.56951
14	13388.787	26648.4375	-28591073235.199703
15	14260.964	26683.59375	-28591072663.271767
