#Ne_opt: 18890.625, f_opt: 12720314582.91529, n_iters: 10, n_calls: 20, flag: 1
call	runtime	Ne	ll
0	294.535	30000.0	-12927558268.4507
1	534.49	31500.0	-12978208630.836128
2	775.255	28500.0	-12881064082.401262
3	1018.959	27000.0	-12839175163.162209
4	1268.78	24000.0	-12771407073.670914
5	1542.767	21000.0	-12729758357.951414
6	1881.586	15000.0	-12761511653.66884
7	2225.354	18000.0	-12722292208.674637
8	2562.07	19500.0	-12721107055.56211
9	2901.129	18750.0	-12720372733.256432
10	3273.411	19125.0	-12720421162.309166
11	3639.617	18375.0	-12720987247.118124
12	4026.667	18937.5	-12720315736.075285
13	4412.069	18843.75	-12720323625.838787
14	4789.527	19031.25	-12720348303.37627
15	5175.272	18890.625	-12720314582.91529
