#Ne_opt: 27128.90625, f_opt: 28659436990.53195, n_iters: 10, n_calls: 20, flag: 1
call	runtime	Ne	ll
0	1222.574	30000.0	-28678968449.123306
1	2388.536	31500.0	-28703283261.441425
2	3588.522	28500.0	-28664023047.07683
3	4829.577	27000.0	-28659485975.802937
4	6176.094	24000.0	-28686574517.055237
5	7569.431	25500.0	-28666532829.372696
6	8951.759	27750.0	-28660382304.02418
7	10418.126	26250.0	-28661477493.9681
8	11851.719	27375.0	-28659582077.3313
9	13398.616	26625.0	-28660109779.62668
10	14892.211	27187.5	-28659443895.107567
11	16371.097	27093.75	-28659443042.027752
12	18158.579	27140.625	-28659439008.63764
13	20111.216	27117.1875	-28659438518.965675
14	22304.634	27128.90625	-28659436990.53195
