#Ne_opt: 24140.625, f_opt: 12387478746.597681, n_iters: 10, n_calls: 20, flag: 1
call	runtime	Ne	ll
0	253.573	30000.0	-12428300816.898071
1	452.083	31500.0	-12449754176.610079
2	653.027	28500.0	-12410875172.169415
3	850.792	27000.0	-12397912311.933788
4	1051.358	24000.0	-12387507409.453775
5	1258.991	21000.0	-12402430420.801624
6	1474.872	25500.0	-12389922142.898685
7	1705.901	22500.0	-12391387601.927538
8	1930.784	24750.0	-12387976165.427078
9	2168.705	23250.0	-12388610300.923111
10	2395.222	24375.0	-12387551441.25623
11	2618.744	23625.0	-12387856230.813519
12	2831.731	24187.5	-12387481245.707691
13	3050.175	24093.75	-12387482339.117695
14	3257.25	24281.25	-12387504397.716892
15	3464.322	24140.625	-12387478746.597681
16	3671.055	24164.0625	-12387479313.675251
