#Ne_opt: 28939.453125, f_opt: 4758577390.572974, n_iters: 10, n_calls: 20, flag: 1
call	runtime	Ne	ll
0	869.048	30000.0	-4758918539.279617
1	1528.595	31500.0	-4760502002.714438
2	2225.019	28500.0	-4758638501.639083
3	2941.448	27000.0	-4759808000.905836
4	3805.227	29250.0	-4758607021.030985
5	4660.242	28875.0	-4758578723.913863
6	5501.03	29062.5	-4758582025.754388
7	6265.653	28687.5	-4758597448.102593
8	7111.433	28968.75	-4758577642.440062
9	7833.647	28921.875	-4758577496.629753
10	8489.743	28945.3125	-4758577398.145311
11	9166.954	28933.59375	-4758577404.399754
12	10049.995	28957.03125	-4758577477.46705
13	10875.527	28939.453125	-4758577390.572974
