#Ne_opt: 37804.6875, f_opt: 22122097253.851715, n_iters: 10, n_calls: 20, flag: 1
call	runtime	Ne	ll
0	4069.269	30000.0	-22185071337.223488
1	8442.226	31500.0	-22161930698.448376
2	12416.736	33000.0	-22144549254.7117
3	16085.875	34500.0	-22132428806.305573
4	19615.63	37500.0	-22122186275.742424
5	22695.103	40500.0	-22128126295.632866
6	25897.626	39000.0	-22123295991.655106
7	29170.615	36000.0	-22125115485.788467
8	32161.318	38250.0	-22122256109.66281
9	35070.308	36750.0	-22123126033.15792
10	38180.991	37875.0	-22122100575.82433
11	41274.165	37687.5	-22122108837.989098
12	44503.585	38062.5	-22122152300.99816
13	49271.405	37781.25	-22122098585.408875
14	54091.025	37828.125	-22122100011.890812
15	58961.345	37734.375	-22122106157.79764
16	63763.087	37804.6875	-22122097253.851715
