#Ne_opt: 33539.0625, f_opt: 28559659886.78303, n_iters: 9, n_calls: 20, flag: 1
call	runtime	Ne	ll
0	8328.644	30000.0	-28579159371.850475
1	16535.025	31500.0	-28565877438.9841
2	23248.959	33000.0	-28560059218.762886
3	29338.766	34500.0	-28561034745.196735
4	35834.626	33750.0	-28559736959.497246
5	42422.968	33375.0	-28559690817.147346
6	49062.971	33562.5	-28559662935.65223
7	55749.431	33468.75	-28559663407.929962
8	62460.622	33656.25	-28559686884.911987
9	69341.244	33515.625	-28559660078.42556
10	75647.452	33539.0625	-28559659886.78303
11	82557.713	33527.34375	-28559660391.875603
12	89559.932	33550.78125	-28559661014.0069
