#Ne_opt: 20625.0, f_opt: 12715438206.830807, n_iters: 10, n_calls: 20, flag: 1
call	runtime	Ne	ll
0	375.808	30000.0	-12844218142.135363
1	682.3	31500.0	-12882907219.15799
2	991.852	28500.0	-12809578851.547165
3	1302.784	27000.0	-12779431706.426628
4	1619.219	24000.0	-12734773572.24077
5	1939.56	21000.0	-12715670471.347692
6	2268.282	15000.0	-12790356403.726818
7	2588.501	18000.0	-12730080089.278183
8	2906.828	19500.0	-12718048503.600372
9	3223.243	22500.0	-12721605473.150034
10	3541.931	20250.0	-12715743433.858131
11	3860.937	21750.0	-12717671600.579386
12	4180.973	20625.0	-12715438206.830807
13	4498.735	20812.5	-12715488311.557861
14	4818.469	20437.5	-12715522465.003109
15	5140.78	20718.75	-12715446678.431583
16	5458.045	20531.25	-12715463367.977173
17	5774.016	20671.875	-12715438234.389225
