#Ne_opt: 28136.71875, f_opt: 4762582711.064005, n_iters: 10, n_calls: 20, flag: 1
call	runtime	Ne	ll
0	116.285	30000.0	-4763847505.84528
1	208.696	31500.0	-4766567209.73691
2	313.99	28500.0	-4762632544.100141
3	418.278	27000.0	-4763087656.413185
4	520.033	27750.0	-4762640037.579735
5	621.758	29250.0	-4763042223.576892
6	718.259	28125.0	-4762582761.623929
7	817.88	28312.5	-4762594443.367105
8	931.807	27937.5	-4762597836.271027
9	1058.341	28218.75	-4762585276.115734
10	1157.407	28031.25	-4762586933.664818
11	1251.409	28171.875	-4762583185.203196
12	1351.07	28078.125	-4762584009.711538
13	1482.801	28148.4375	-4762582764.841935
14	1605.503	28101.5625	-4762583176.500149
15	1733.39	28136.71875	-4762582711.064005
16	1858.088	28130.859375	-4762582723.255289
