#Ne_opt: 26261.71875, f_opt: 12384071208.320946, n_iters: 10, n_calls: 20, flag: 1
call	runtime	Ne	ll
0	378.743	30000.0	-12398546646.513641
1	720.245	31500.0	-12411591822.159107
2	1068.125	28500.0	-12389428384.650177
3	1425.279	27000.0	-12384665879.06675
4	1777.758	24000.0	-12390306162.668201
5	2128.868	25500.0	-12384760893.203907
6	2476.684	26250.0	-12384071551.925133
7	2826.491	26625.0	-12384212756.905548
8	3174.174	25875.0	-12384251124.204342
9	3515.755	26437.5	-12384102600.532152
10	3870.711	26062.5	-12384120696.567991
11	4202.196	26343.75	-12384077255.27482
12	4530.775	26156.25	-12384085964.886272
13	4855.513	26296.875	-12384071848.6142
14	5178.513	26203.125	-12384076305.058329
15	5507.321	26273.4375	-12384071291.533173
16	5831.335	26261.71875	-12384071208.320946
