cons_model,mut_model,"R^2_B,pi_10kb","R^2_Epi,pi_10kb","R^2_B,pi_100kb","R^2_Epi,pi_100kb","R^2_B,pi_1Mb","R^2_Epi,pi_1Mb"
merged_cds_regulatory,carlson,0.10093931949687697,0.10958155181868975,0.214426294236779,0.23973312285318985,0.3126074283224582,0.3746232292113501
merged_cds_regulatory,gnomad,0.09651622645741591,0.11317629093984113,0.19827302825005147,0.2522917830940031,0.26772266239558035,0.38860059049859447
merged_cds_regulatory,roulette,0.0952135040303968,0.18614420893676936,0.19546661534865836,0.36528586789105094,0.2644190932640034,0.5722503172233587
split_cds_regulatory,carlson,0.10078601239810826,0.1089437403697935,0.21479753633907228,0.23859106542089534,0.318400527239114,0.3735604344217641
split_cds_regulatory,gnomad,0.09670169989614566,0.10972879500655776,0.1995339176088376,0.2443471524571419,0.27538837260609283,0.3759790841668225
split_cds_regulatory,roulette,0.09575614059060723,0.1851268304298908,0.19743335445682103,0.362649291077276,0.2736340884988444,0.5688455556748552
merged_cds_phastcons,carlson,0.16828536452935725,0.16607020047885274,0.35132239137202786,0.33830391546697436,0.519080707856679,0.49541169584992695
merged_cds_phastcons,gnomad,0.17715713906238045,0.19373916930816418,0.3617634018448695,0.38407781208918584,0.520403238590066,0.5630924104443559
merged_cds_phastcons,roulette,0.1739602472392696,0.2212142968110673,0.3559925586906772,0.4239954124638247,0.5119983006154942,0.6240568296363455
split_cds_phastcons,carlson,0.16822317188704466,0.16649557249182148,0.3511486489441305,0.338789081115226,0.5198948324123447,0.4959126349513185
split_cds_phastcons,gnomad,0.17727813775537032,0.1934390783087758,0.3622063658094606,0.3829966089474319,0.5231763945540792,0.5611031659105697
split_cds_phastcons,roulette,0.17398814093551757,0.22140632926870304,0.3561947759887405,0.4239594089592221,0.5143585737601543,0.6238596676243183
