cons_model,mut_model,avg_Ne
merged_cds,roulette,23767.056074387267
merged_cds,gnomad,24889.082643360365
merged_cds,carlson,18717.457782253816
split_cds,roulette,24454.541705023228
split_cds,gnomad,25649.535682992228
split_cds,carlson,19310.022312661466
merged_cds_regulatory,roulette,25903.136127784568
merged_cds_regulatory,gnomad,27310.491914186274
merged_cds_regulatory,carlson,20749.483281260902
split_cds_regulatory,roulette,26657.91709057828
split_cds_regulatory,gnomad,28155.43352133601
split_cds_regulatory,carlson,21417.578590872523
merged_cds_phastcons,roulette,33021.729368845656
merged_cds_phastcons,gnomad,35095.518995869505
merged_cds_phastcons,carlson,27641.026273716187
split_cds_phastcons,roulette,34029.22703705493
split_cds_phastcons,gnomad,36223.46353325899
split_cds_phastcons,carlson,28566.591032345917
