cons_model,mut_model,chrom,Ne,ll
merged_cds,roulette,1,22921.875,-29720300843.094635
merged_cds,roulette,2,22617.1875,-33076470054.622204
merged_cds,roulette,3,23648.4375,-28226311890.247017
merged_cds,roulette,4,24773.4375,-28598831497.32878
merged_cds,roulette,5,23578.125,-25607492576.541527
merged_cds,roulette,6,24609.375,-24886001436.60774
merged_cds,roulette,7,24023.4375,-21920767582.834908
merged_cds,roulette,8,23765.625,-22099683932.713257
merged_cds,roulette,9,23742.1875,-16499839158.760448
merged_cds,roulette,10,24328.125,-19311759480.111473
merged_cds,roulette,11,24070.3125,-19024282766.33201
merged_cds,roulette,12,23109.375,-17875350457.671295
merged_cds,roulette,13,24093.75,-14561084735.811169
merged_cds,roulette,14,23437.5,-12387405501.933393
merged_cds,roulette,15,23929.6875,-11053222572.207954
merged_cds,roulette,16,23976.5625,-11521778056.544594
merged_cds,roulette,17,22546.875,-9544174750.57986
merged_cds,roulette,18,24140.625,-11409435994.06231
merged_cds,roulette,19,24726.5625,-6983528269.154672
merged_cds,roulette,20,23648.4375,-8768378370.478497
merged_cds,roulette,21,26707.03125,-5492034880.991858
merged_cds,roulette,22,24117.1875,-4758205631.796025
merged_cds,gnomad,1,23296.875,-29782285507.211563
merged_cds,gnomad,2,23718.75,-33156352418.3681
merged_cds,gnomad,3,24867.1875,-28305134532.0379
merged_cds,gnomad,4,26273.4375,-28658209414.370377
merged_cds,gnomad,5,24820.3125,-25671615006.29532
merged_cds,gnomad,6,25476.5625,-24926792543.87452
merged_cds,gnomad,7,25265.625,-21988469925.548164
merged_cds,gnomad,8,26250.0,-22224816942.189445
merged_cds,gnomad,9,25617.1875,-16560874646.626036
merged_cds,gnomad,10,25242.1875,-19350501583.840614
merged_cds,gnomad,11,25195.3125,-19067659986.580193
merged_cds,gnomad,12,23695.3125,-17911101547.534416
merged_cds,gnomad,13,25195.3125,-14582678177.372849
merged_cds,gnomad,14,24164.0625,-12416247793.690926
merged_cds,gnomad,15,24820.3125,-11078321785.897308
merged_cds,gnomad,16,27398.4375,-11598988498.922386
merged_cds,gnomad,17,22500.0,-9570596012.959883
merged_cds,gnomad,18,25101.5625,-11425794007.457523
merged_cds,gnomad,19,24656.25,-7009994041.538494
merged_cds,gnomad,20,24070.3125,-8787414609.466026
merged_cds,gnomad,21,27908.203125,-5502522715.638377
merged_cds,gnomad,22,24468.75,-4769984161.915867
merged_cds,carlson,1,17859.375,-27618954417.539673
merged_cds,carlson,2,17906.25,-30810011388.273796
merged_cds,carlson,3,18562.5,-26020173964.06202
merged_cds,carlson,4,19265.625,-26703581713.945198
merged_cds,carlson,5,18468.75,-23719205028.80523
merged_cds,carlson,6,19078.125,-22584346305.873615
merged_cds,carlson,7,18843.75,-19681162516.424328
merged_cds,carlson,8,19171.875,-19785695960.103397
merged_cds,carlson,9,19125.0,-14265932727.355183
merged_cds,carlson,10,19312.5,-17104392921.959002
merged_cds,carlson,11,19218.75,-17155462266.711308
merged_cds,carlson,12,17953.125,-15968089505.304825
merged_cds,carlson,13,18281.25,-12719980338.499453
merged_cds,carlson,14,18046.875,-10567670449.732347
merged_cds,carlson,15,18937.5,-9483667116.360695
merged_cds,carlson,16,21281.25,-9594608167.453835
merged_cds,carlson,17,17812.5,-7750925438.815134
merged_cds,carlson,18,18328.125,-9523659822.157923
merged_cds,carlson,19,20578.125,-4778244822.095169
merged_cds,carlson,20,18515.625,-6968138929.92788
merged_cds,carlson,21,21187.5,-3883814318.405065
merged_cds,carlson,22,19171.875,-3151158361.037938
split_cds,roulette,1,23507.8125,-29721258730.497498
split_cds,roulette,2,23250.0,-33077974075.475456
split_cds,roulette,3,24328.125,-28228353643.17801
split_cds,roulette,4,25535.15625,-28599509551.59661
split_cds,roulette,5,24328.125,-25608264184.61786
split_cds,roulette,6,25359.375,-24885323793.537453
split_cds,roulette,7,24726.5625,-21921799749.04916
split_cds,roulette,8,24492.1875,-22100444628.467285
split_cds,roulette,9,24445.3125,-16500583529.983522
split_cds,roulette,10,25078.125,-19312976203.022312
split_cds,roulette,11,24726.5625,-19025399735.322674
split_cds,roulette,12,23789.0625,-17876398635.38462
split_cds,roulette,13,24867.1875,-14561416709.344902
split_cds,roulette,14,24140.625,-12387478746.597681
split_cds,roulette,15,24585.9375,-11054571325.724358
split_cds,roulette,16,24609.375,-11523714888.831596
split_cds,roulette,17,23062.5,-9545074961.838902
split_cds,roulette,18,24890.625,-11409560916.786762
split_cds,roulette,19,25218.75,-6983397005.210871
split_cds,roulette,20,24328.125,-8768955230.450037
split_cds,roulette,21,27515.625,-5492063207.823929
split_cds,roulette,22,24703.125,-4758952516.871229
split_cds,gnomad,1,23976.5625,-29784396527.859688
split_cds,gnomad,2,24445.3125,-33158796508.003235
split_cds,gnomad,3,25617.1875,-28308488153.27393
split_cds,gnomad,4,27128.90625,-28659436990.53195
split_cds,gnomad,5,25617.1875,-25673198229.702736
split_cds,gnomad,6,26250.0,-24926906807.835
split_cds,gnomad,7,26015.625,-21990257279.15143
