cons_model,mut_model,num_sites,ll
merged_cds_regulatory,carlson,1968399089,-339661805487.55316
merged_cds_regulatory,gnomad,2164673425,-384013401776.36365
merged_cds_regulatory,roulette,2164673425,-383166040421.73175
split_cds_regulatory,carlson,1968399089,-339668873544.4325
split_cds_regulatory,gnomad,2164673425,-384030158253.8337
split_cds_regulatory,roulette,2164673425,-383173225864.02386
merged_cds_phastcons,carlson,1968399089,-339125210236.90576
merged_cds_phastcons,gnomad,2164673425,-383183820548.2794
merged_cds_phastcons,roulette,2164673425,-382651229614.4589
split_cds_phastcons,carlson,1968399089,-339106083847.3699
split_cds_phastcons,gnomad,2164673425,-383172825843.3665
split_cds_phastcons,roulette,2164673425,-382634408039.4514
