chrom  num_records  total_bp    chrom_frac_genome  frac_all_ivls  frac_all_bp  min    max     mean
chr1   324695       179223255   0.08659            0.084          0.083        1      23692   551.974
chr2   310643       196179959   0.08424            0.081          0.091        1      25573   631.529
chr3   265086       163757326   0.06897            0.069          0.076        1      26075   617.752
chr4   254544       156594773   0.06616            0.066          0.072        1      38328   615.197
chr5   237015       146602962   0.06314            0.061          0.068        1      19388   618.539
chr6   237373       139446960   0.05941            0.062          0.064        1      23231   587.459
chr7   234201       121763742   0.05542            0.061          0.056        1      23363   519.911
chr8   192809       118977082   0.05048            0.050          0.055        1      29107   617.072
chr9   154054       89996204    0.04814            0.040          0.042        1      20297   584.186
chr10  188790       106117204   0.04654            0.049          0.049        1      25336   562.091
chr11  190005       107222714   0.04699            0.049          0.050        1      21987   564.315
chr12  205883       106303696   0.04636            0.053          0.049        1      22234   516.331
chr13  121998       81480003    0.03978            0.032          0.038        1      23000   667.880
chr14  129823       71872046    0.03723            0.034          0.033        1      23322   553.616
chr15  116494       62445659    0.03548            0.030          0.029        1      19310   536.042
chr16  127793       57614966    0.03142            0.033          0.027        1      16738   450.846
chr17  139090       56907071    0.02896            0.036          0.026        1      19375   409.138
chr18  93433        63319119    0.02796            0.024          0.029        1      18722   677.695
chr19  140197       37260482    0.02039            0.036          0.017        1      16123   265.772
chr20  87998        49278286    0.02242            0.023          0.023        1      20687   559.993
chr21  45308        27227894    0.01625            0.012          0.013        1      15326   600.951
chr22  58282        25242707    0.01768            0.015          0.012        1      15234   433.113
all    3855514      2164834110  1.0                1.0            1            38328  561.49  
