Chromosome,START,END,NumVariants_LR,NumVariants_MR,t_test,p_value,DAF_LR,DAF_MR
1,227000001,229000000.0,2276.0,3970.0,0.589,3e-07,0.136,0.137
1,236000001,238000000.0,55.0,4306.0,0.684,8e-06,0.232,0.182
2,44500001,46500000.0,115.0,5766.0,0.943,4e-07,0.196,0.125
3,61500001,63500000.0,63.0,3360.0,1.525,2e-06,0.2,0.142
3,189000001,191000000.0,326.0,5598.0,1.143,2e-06,0.223,0.168
4,24500001,26500000.0,252.0,6634.0,1.515,2e-05,0.254,0.147
5,13000001,15000000.0,3664.0,4220.0,0.961,4e-06,0.152,0.133
6,19000001,22000000.0,197.0,4966.0,1.015,9e-08,0.189,0.144
6,31500001,34500000.0,513.0,5084.0,1.523,3e-11,0.208,0.145
7,3500001,6000000.0,173.0,4826.0,1.077,7e-06,0.174,0.14
8,72000001,74000000.0,101.0,8928.0,0.828,2e-09,0.214,0.137
8,122500001,124500000.0,81.0,505.0,2.15,4e-07,0.262,0.155
9,81500001,84500000.0,270.0,14017.0,2.108,9e-06,0.228,0.142
10,46500001,49500000.0,126.0,3065.0,3.128,3e-05,0.233,0.121
11,96500001,100000000.0,94.0,2616.0,2.719,9e-09,0.199,0.145
12,2000001,4000000.0,1282.0,8067.0,1.103,2e-06,0.163,0.16
12,130000001,132000000.0,118.0,4356.0,0.816,2e-06,0.156,0.18
14,40000001,42500000.0,128.0,4727.0,0.657,1e-09,0.159,0.146
15,80500001,83000000.0,78.0,2285.0,1.469,7e-07,0.173,0.125
16,1,3500000.0,100.0,2986.0,2.267,1e-05,0.261,0.157
17,76000001,78500000.0,0.589,3e-07,3.22,2e-05,0.172,0.145
21,41000001,43000000.0,0.684,8e-06,1.75,2e-06,0.299,0.181
